Fast first order indexes
                    	              LAI[1]	              LAI[2]	              LAI[3]	              LAI[4]	              LAI[5]	              LAI[6]	              LAI[7]	              LAI[8]	              LAI[9]	             LAI[10]	             LAI[11]	             LAI[12]	             LAI[13]	             LAI[14]	             LAI[15]	             LAI[16]	             LAI[17]	             LAI[18]	             LAI[19]	             LAI[20]	             LAI[21]	             LAI[22]	             LAI[23]	             LAI[24]	             LAI[25]	             LAI[26]	             LAI[27]	             LAI[28]	             LAI[29]	             LAI[30]	             LAI[31]	             LAI[32]	             LAI[33]	             LAI[34]	             LAI[35]	             LAI[36]	             LAI[37]	             LAI[38]	             LAI[39]	             LAI[40]	             LAI[41]	             LAI[42]	             LAI[43]	             LAI[44]	             LAI[45]	             LAI[46]	             LAI[47]	             LAI[48]	             LAI[49]	             LAI[50]	             LAI[51]	             LAI[52]	             LAI[53]	             LAI[54]	             LAI[55]	             LAI[56]	             LAI[57]	             LAI[58]	             LAI[59]	             LAI[60]	             LAI[61]	             LAI[62]	             LAI[63]	             LAI[64]	             LAI[65]	             LAI[66]	             LAI[67]	             LAI[68]	             LAI[69]	             LAI[70]	             LAI[71]	             LAI[72]	             LAI[73]	             LAI[74]	             LAI[75]	             LAI[76]	             LAI[77]	             LAI[78]	             LAI[79]	             LAI[80]	             LAI[81]	             LAI[82]	             LAI[83]	             LAI[84]	             LAI[85]	             LAI[86]	             LAI[87]	             LAI[88]	             LAI[89]	             LAI[90]	             LAI[91]	             LAI[92]	             LAI[93]	             LAI[94]	             LAI[95]	             LAI[96]	             LAI[97]	             LAI[98]	             LAI[99]	            LAI[100]	            LAI[101]	            LAI[102]	            LAI[103]	            LAI[104]	            LAI[105]	            LAI[106]	            LAI[107]	            LAI[108]	            LAI[109]	            LAI[110]	            LAI[111]	            LAI[112]	            LAI[113]	            LAI[114]	            LAI[115]	            LAI[116]	            LAI[117]	            LAI[118]	            LAI[119]	            LAI[120]	            LAI[121]	            LAI[122]	            LAI[123]	            LAI[124]	            LAI[125]	            LAI[126]	            LAI[127]	            LAI[128]	            LAI[129]	            LAI[130]	
               TSUM1	            1.2e-005	              0.0007	            0.000435	            0.000562	              0.0009	            0.000986	            0.000295	            0.000306	            0.000741	            0.000707	           7.16e-005	            0.000374	            0.000524	            0.000319	           8.53e-005	            0.000233	              0.0014	            0.000351	              0.0002	              0.0013	            0.000439	            0.000684	              0.0032	              0.0033	              0.0019	              0.0027	              0.0014	            0.000767	              0.0024	              0.0025	            0.000416	            0.000986	              0.0051	              0.0017	              0.0010	              0.0020	              0.0067	              0.0046	              0.0041	              0.0069	              0.0081	              0.0123	              0.0122	              0.0112	              0.0078	              0.0072	              0.0116	              0.0339	              0.0695	              0.1202	              0.2081	              0.3084	              0.3866	              0.4626	              0.5162	              0.5381	              0.5464	              0.5544	              0.5523	              0.5503	              0.5445	              0.5376	              0.5317	              0.5289	              0.5230	              0.5128	              0.5009	              0.4871	              0.4665	              0.4348	              0.3974	              0.3573	              0.3132	              0.2687	              0.2310	              0.2031	              0.1797	              0.1594	              0.1424	              0.1294	              0.1198	              0.1104	              0.1026	              0.0969	              0.0929	              0.0891	              0.0892	              0.0943	              0.1043	              0.1171	              0.1301	              0.1151	              0.0883	              0.0537	              0.0304	              0.0282	              0.0464	              0.0843	              0.1499	              0.2144	              0.2749	              0.3458	              0.3624	              0.3658	              0.4092	              0.4512	              0.5520	              0.5586	              0.5518	              0.5740	              0.6070	              0.6108	              0.6109	              0.6064	              0.6106	              0.6082	              0.6082	              0.6082	              0.6089	              0.6125	              0.6125	              0.6083	              0.6020	              0.6020	              0.6020	              0.6020	              0.6020	              0.6020	              0.6020	              0.6020	
               TSUM2	           7.86e-005	              0.0013	            0.000629	            0.000668	              0.0010	            0.000662	            0.000639	            0.000604	            0.000584	            0.000791	            0.000608	            0.000653	            0.000573	            0.000534	            0.000251	            0.000416	            0.000494	            0.000215	            0.000248	            0.000175	            0.000418	            0.000796	            0.000706	              0.0010	            0.000899	            0.000448	            0.000538	            0.000588	              0.0022	              0.0011	              0.0023	            0.000349	              0.0018	            0.000171	              0.0029	            0.000207	            0.000811	            0.000501	            0.000343	            0.000222	            0.000584	            0.000291	            0.000378	             0.00044	            0.000436	            0.000663	            0.000715	              0.0014	            0.000811	            0.000628	            0.000217	            0.000311	           4.05e-005	            0.000187	            0.000232	           8.88e-005	           5.54e-005	           5.32e-005	            0.000115	           6.12e-005	           1.72e-005	           1.76e-005	           2.02e-005	           1.77e-005	           1.53e-005	           1.92e-005	           1.41e-005	           2.96e-005	           3.82e-005	           5.47e-005	           7.52e-005	            0.000107	            0.000141	            0.000153	            0.000188	            0.000257	            0.000317	            0.000366	            0.000434	            0.000537	             0.00062	            0.000702	            0.000825	            0.000965	              0.0013	              0.0015	              0.0018	              0.0021	              0.0023	              0.0024	              0.0026	              0.0029	              0.0028	              0.0022	              0.0020	              0.0029	              0.0085	              0.0269	              0.0727	              0.0786	              0.0770	              0.1476	              0.2309	              0.3612	              0.3832	              0.4295	              0.5048	              0.5417	              0.5502	              0.5495	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	              0.5487	
                TDWI	              0.9151	              0.8502	              0.7780	              0.7373	              0.7300	              0.6984	              0.6545	              0.6498	              0.6626	              0.6410	              0.5838	              0.5639	              0.5989	              0.6435	              0.6754	              0.7210	              0.7414	              0.7308	              0.7169	              0.6870	              0.6154	              0.5894	              0.5799	              0.5597	              0.5488	              0.4525	              0.3608	              0.3269	              0.3774	              0.2929	              0.1673	              0.1571	              0.1836	              0.1124	              0.0628	              0.0686	              0.0701	              0.0433	              0.0378	              0.0404	              0.0282	              0.0201	              0.0189	              0.0167	              0.0111	              0.0097	              0.0106	              0.0103	              0.0123	              0.0106	              0.0096	              0.0069	              0.0077	              0.0061	              0.0041	              0.0023	              0.0021	              0.0021	              0.0018	              0.0009	            0.000836	              0.0010	              0.0011	            0.000634	            0.000373	            0.000341	            0.000283	            0.000154	             0.00012	            9.2e-005	            0.000124	            0.000127	             0.00015	            0.000174	            0.000164	            0.000142	            0.000149	            0.000215	            0.000285	            0.000334	            0.000353	            0.000461	            0.000575	            0.000484	            0.000447	            0.000498	            0.000513	            0.000416	            0.000405	            0.000438	            0.000447	            0.000458	            0.000956	              0.0382	              0.0393	              0.0401	              0.0410	              0.0370	              0.0375	              0.0379	              0.0385	              0.0014	              0.0018	              0.0016	              0.0012	              0.0011	              0.0011	            0.000652	            0.000528	            0.000494	            0.000594	            0.000551	            0.000548	            0.000523	            0.000519	            0.000504	            0.000437	            0.000569	            0.000583	            0.000551	            0.000618	            0.000473	            0.000473	            0.000473	            0.000473	            0.000473	            0.000473	            0.000473	            0.000473	            0.000473	
              RGRLAI	            0.000132	              0.0439	              0.1200	              0.2357	              0.3761	              0.4455	              0.4487	              0.4676	              0.4966	              0.5082	              0.4845	              0.4831	              0.4952	              0.5001	              0.5019	              0.5046	              0.5041	              0.4975	              0.4982	              0.5107	              0.5043	              0.4931	              0.4957	              0.4955	              0.4951	              0.4665	              0.4405	              0.4324	              0.4547	              0.4226	              0.3748	              0.3799	              0.3863	              0.3456	              0.3021	              0.2982	              0.2993	              0.2737	              0.2329	              0.2075	              0.1808	              0.1506	              0.1402	              0.1432	              0.1418	              0.1754	              0.2272	              0.2557	              0.2010	              0.0944	              0.0481	              0.0194	              0.0066	              0.0012	            0.000543	            0.000997	              0.0017	              0.0029	              0.0040	              0.0048	              0.0053	              0.0062	              0.0074	              0.0079	              0.0084	              0.0094	              0.0103	              0.0109	              0.0116	              0.0128	              0.0138	              0.0145	              0.0152	              0.0159	              0.0163	              0.0163	              0.0165	              0.0168	              0.0170	              0.0167	              0.0165	              0.0164	              0.0164	              0.0160	              0.0155	              0.0153	              0.0149	              0.0140	              0.0133	              0.0126	              0.0116	              0.0107	              0.0100	              0.0093	              0.0083	              0.0073	              0.0065	              0.0055	              0.0048	              0.0428	              0.0445	              0.0151	              0.0072	              0.0113	              0.0097	              0.0122	              0.0121	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	              0.0127	
              SLATB3	              0.0063	              0.0079	              0.0081	              0.0109	              0.0106	              0.0113	              0.0124	              0.0149	              0.0166	              0.0164	              0.0159	              0.0230	              0.0156	              0.0167	              0.0191	              0.0206	              0.0242	              0.0229	              0.0244	              0.0229	              0.0302	              0.0303	              0.0328	              0.0320	              0.0439	              0.0288	              0.0303	              0.0282	              0.0286	              0.0290	              0.0428	              0.0386	              0.0363	              0.0341	              0.0381	              0.0345	              0.0335	              0.0337	              0.0351	              0.0378	              0.0389	              0.0413	              0.0439	              0.0536	              0.0608	              0.0734	              0.0844	              0.0981	              0.1162	              0.1370	              0.1647	              0.1829	              0.2065	              0.2331	              0.2420	              0.2195	              0.1913	              0.1668	              0.1432	              0.1196	              0.1022	              0.0889	              0.0766	              0.0661	              0.0559	              0.0496	              0.0449	              0.0401	              0.0349	              0.0314	              0.0285	              0.0253	              0.0224	              0.0196	              0.0171	              0.0147	              0.0128	              0.0113	              0.0099	              0.0087	              0.0078	              0.0072	              0.0068	              0.0063	              0.0058	              0.0054	              0.0052	              0.0049	              0.0047	              0.0043	              0.0036	              0.0478	              0.0484	              0.0315	              0.0320	              0.0322	              0.0315	              0.0312	              0.0311	              0.0461	              0.0453	            0.000821	            0.000369	            0.000324	            0.000423	             0.00051	             0.00051	            0.000587	            0.000663	            0.000662	            0.000662	            0.000214	            0.000249	            0.000183	             0.00019	            0.000123	            0.000397	            0.000421	            0.000429	            0.000399	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	            0.000435	
              SLATB9	           3.34e-005	              0.0016	              0.0014	              0.0020	              0.0036	              0.0038	            0.000666	            0.000329	              0.0021	              0.0023	            0.000156	             0.00056	              0.0012	              0.0015	            0.000148	            0.000698	              0.0013	            0.000712	            0.000221	            0.000655	            0.000541	            0.000627	            0.000861	            0.000215	            0.000758	            0.000768	            0.000811	            0.000667	              0.0012	              0.0012	            0.000789	            0.000153	              0.0026	            0.000271	              0.0012	            0.000165	            0.000488	            0.000184	            0.000353	             0.00038	            0.000514	            0.000248	             0.00018	            0.000521	            0.000165	             0.00042	            0.000525	            0.000246	            0.000529	              0.0023	              0.0013	              0.0014	            0.000817	             0.00049	            0.000162	            0.000175	              0.0002	            0.000199	            0.000351	            0.000228	            0.000115	            0.000118	            0.000185	           9.35e-005	           3.81e-005	           7.77e-005	            0.000124	             0.00017	             0.00019	            0.000262	            0.000282	            0.000255	             0.00023	            0.000192	            0.000142	           9.88e-005	           6.66e-005	           5.77e-005	           4.45e-005	           3.08e-005	           3.26e-005	           3.49e-005	           4.41e-005	           5.11e-005	           6.49e-005	           8.79e-005	            0.000111	            0.000145	            0.000178	            0.000188	             0.00022	            0.000236	            0.000257	            0.000275	            0.000296	            0.000309	            0.000292	            0.000256	            0.000258	              0.0445	              0.0463	              0.0202	              0.0091	              0.0068	              0.0085	              0.0092	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	              0.0097	
                SPAN	           1.96e-005	             0.00096	            0.000884	              0.0011	              0.0016	              0.0011	            0.000894	            0.000184	              0.0015	             0.00097	            0.000252	            0.000503	            0.000499	            0.000725	           7.11e-005	            0.000225	            0.000736	            0.000526	           9.91e-005	           6.21e-005	            0.000134	            0.000433	            0.000158	             0.00021	            0.000362	            0.000231	            0.000639	              0.0004	              0.0011	            0.000179	            0.000804	           9.66e-005	              0.0012	            0.000239	            0.000733	           4.77e-005	            0.000581	            0.000145	            0.000308	            0.000285	            0.000194	            0.000107	            0.000328	            0.000389	            0.000407	            0.000388	            0.000172	            0.000324	            0.000219	            0.000213	            0.000202	            0.000118	            0.000115	            2.8e-005	           5.51e-005	           6.44e-005	           5.61e-005	            3.7e-005	           4.82e-005	           2.71e-005	           2.07e-005	           1.66e-005	           7.98e-006	           1.08e-005	           1.42e-005	            2.1e-005	              2e-005	           2.01e-005	           1.86e-005	           1.69e-005	           1.95e-005	           1.51e-005	           1.73e-005	           1.94e-005	              2e-005	           1.85e-005	           1.91e-005	           2.08e-005	           2.35e-005	           2.35e-005	           2.43e-005	           3.16e-005	           4.07e-005	           4.83e-005	           5.71e-005	           6.23e-005	           6.98e-005	           8.17e-005	           8.98e-005	           9.69e-005	           9.15e-005	            0.000102	            0.000113	            0.000114	            0.000122	            0.000137	            0.000136	              0.0325	              0.0348	              0.0327	              0.0343	              0.0060	              0.0106	              0.0103	              0.0081	              0.0081	              0.0102	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	              0.0077	
               TBASE	           3.11e-005	              0.0145	              0.0297	              0.0567	              0.1091	              0.1399	              0.1464	              0.1745	              0.2134	              0.2390	              0.2427	              0.2528	              0.2813	              0.2837	              0.2776	              0.2873	              0.2925	              0.2848	              0.2834	              0.2954	              0.2905	              0.2955	              0.2896	              0.2806	              0.2895	              0.2744	              0.2489	              0.2381	              0.2491	              0.2274	              0.1837	              0.1827	              0.1923	              0.1631	              0.1337	              0.1322	              0.1250	              0.1005	              0.0887	              0.0888	              0.0813	              0.0686	              0.0628	              0.0590	              0.0461	              0.0390	              0.0330	              0.0296	              0.0278	              0.0226	              0.0173	              0.0136	              0.0115	              0.0095	              0.0059	              0.0021	            0.000771	            0.000459	            0.000536	            0.000907	              0.0020	              0.0022	              0.0022	              0.0028	              0.0032	              0.0032	              0.0038	              0.0043	              0.0048	              0.0049	              0.0048	              0.0045	              0.0044	              0.0043	              0.0042	              0.0040	              0.0037	              0.0036	              0.0035	              0.0032	              0.0028	              0.0026	              0.0024	              0.0021	              0.0019	              0.0018	              0.0017	              0.0016	              0.0015	              0.0015	              0.0014	              0.0013	              0.0013	              0.0012	              0.0010	              0.0411	              0.0429	              0.0433	              0.0435	              0.0537	              0.0536	            0.000754	              0.0013	              0.0010	            0.000691	            0.000708	            0.000883	            0.000883	            0.000605	            0.000759	            0.000486	            0.000445	            0.000411	            0.000411	             0.00071	            0.000969	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	              0.0011	
             KDIFTB3	           1.52e-005	             0.00062	            0.000499	            0.000474	              0.0012	              0.0011	            0.000495	            0.000355	              0.0019	              0.0020	            0.000391	            0.000688	              0.0011	              0.0020	            0.000269	              0.0011	              0.0028	             0.00093	            0.000434	              0.0012	              0.0011	              0.0017	              0.0042	              0.0019	              0.0024	              0.0029	              0.0016	            0.000934	              0.0062	              0.0034	              0.0018	              0.0011	              0.0061	              0.0012	              0.0011	            0.000304	              0.0013	            0.000128	            0.000434	            0.000453	            0.000593	              0.0012	              0.0015	              0.0013	              0.0026	              0.0038	              0.0043	              0.0051	              0.0064	              0.0079	              0.0069	              0.0062	              0.0070	              0.0075	              0.0076	              0.0064	              0.0039	              0.0028	              0.0030	              0.0032	              0.0029	              0.0019	              0.0014	              0.0015	              0.0012	            0.000773	            0.000775	            0.000736	            0.000644	            0.000568	            0.000515	            0.000413	            0.000305	            0.000259	            0.000182	            0.000129	           8.82e-005	           6.13e-005	           4.11e-005	           1.82e-005	           1.39e-005	           1.78e-005	           2.33e-005	              2e-005	              2e-005	           2.62e-005	           3.95e-005	            0.000186	            0.000388	            0.000289	            0.000307	            0.000498	            0.000463	            0.000389	            0.000462	              0.0292	              0.0280	              0.0270	              0.0264	              0.0254	              0.0245	              0.0011	             0.00087	            0.000902	            0.000757	            0.000757	            0.000614	            0.000614	            0.000508	            0.000508	            0.000348	              0.0004	            0.000451	            0.000375	            0.000303	            0.000336	            0.000358	            0.000358	            0.000362	            0.000298	            0.000294	            0.000294	            0.000343	            0.000375	            0.000375	            0.000334	             0.00032	             0.00032	            0.000374	            0.000291	
             KDIFTB7	           2.89e-005	            0.000858	            0.000545	            0.000306	            0.000931	              0.0013	            0.000313	            0.000251	            0.000657	            0.000937	           9.27e-005	            0.000145	            0.000356	            0.000329	            9.9e-005	            0.000424	            0.000835	            0.000222	            0.000206	            0.000477	            0.000218	            0.000131	             0.00032	            0.000331	            0.000409	             0.00066	            0.000968	            0.000846	             0.00087	              0.0013	            0.000379	            0.000148	              0.0018	            0.000329	            0.000608	           1.19e-005	            0.000296	            0.000123	            0.000153	            0.000294	            0.000399	           8.65e-005	            0.000241	             0.00059	            0.000131	            0.000194	            9.8e-005	            6.6e-005	            0.000117	            0.000144	           9.41e-005	            0.000399	            0.000102	            0.000143	            0.000363	            0.000265	            0.000468	             0.00071	              0.0011	              0.0010	            0.000551	            0.000582	              0.0015	              0.0010	              0.0015	              0.0018	              0.0028	              0.0038	              0.0046	              0.0059	              0.0079	              0.0097	              0.0111	              0.0136	              0.0164	              0.0193	              0.0229	              0.0268	              0.0315	              0.0362	              0.0420	              0.0490	              0.0557	              0.0622	              0.0696	              0.0771	              0.0848	              0.0923	              0.1009	              0.1111	              0.1223	              0.1335	              0.1452	              0.1593	              0.1746	              0.1903	              0.2057	              0.2172	              0.2259	              0.2250	              0.2050	              0.0189	              0.0101	              0.0148	              0.0252	              0.0242	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	              0.0267	
