Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.1568	              0.2260	              0.1559	
               TSUM2	              0.2585	              0.3831	              0.5539	
                TDWI	            0.000322	              0.0016	            0.000468	
              RGRLAI	            0.000999	              0.0041	              0.0051	
              SLATB3	              0.0204	            0.000832	            0.000376	
              SLATB9	              0.0010	              0.0013	              0.0012	
                SPAN	            0.000468	            0.000498	              0.0017	
               TBASE	              0.0013	              0.0026	              0.0079	
             KDIFTB3	            0.000709	              0.0104	              0.0011	
             KDIFTB7	              0.0079	              0.0147	              0.0091	
              EFFTB1	              0.1196	              0.0582	              0.0652	
              EFFTB3	              0.0755	              0.0313	              0.0397	
             AMAXTB5	              0.0086	              0.0014	              0.0035	
             AMAXTB9	              0.0128	              0.0130	              0.0075	
            AMAXTB11	              0.0347	              0.0532	              0.0210	
             TMPFTB1	              0.0012	            0.000165	              0.0021	
             TMPFTB3	              0.0022	            0.000515	              0.0020	
                 CVL	              0.0024	              0.0025	            0.000553	
                 CVO	              0.2177	              0.6455	              0.3887	
                 CVR	              0.0051	            0.000987	              0.0037	
                 CVS	              0.0061	              0.0898	            0.000874	
                 Q10	              0.0085	            0.000809	              0.0035	
                 RML	              0.0080	              0.0026	              0.0050	
                 RMO	              0.0024	              0.0019	              0.0037	
                 RMR	              0.0074	              0.0045	              0.0043	
                 RMS	              0.0386	              0.0341	              0.0157	
               FRTB1	              0.0012	              0.0016	            0.000815	
               FRTB5	            0.000879	            0.000368	              0.0012	
               FRTB7	              0.0101	            0.000851	              0.0030	
               FLTB3	              0.0549	              0.0332	              0.0119	
               FLTB5	              0.0043	              0.0013	              0.0037	
               FLTB7	              0.0207	              0.0037	              0.0130	
               FLTB9	            0.000192	            0.000971	            0.000146	
             RDRRTB5	              0.0025	              0.0030	              0.0013	
             RDRRTB7	              0.0026	              0.0096	              0.0050	
             RDRSTB5	            0.000736	              0.0026	            0.000968	
             RDRSTB7	            0.000864	            0.000398	              0.0059	
                 RDI	              0.0020	            0.000626	              0.0017	
                 RRI	              0.0015	            0.000274	              0.0014	
               RDMCR	             0.00027	              0.0015	            0.000207	
                 WAV	             0.00023	            0.000357	            0.000165	
               SMLIM	              0.0015	              0.0018	            0.000956	
             NAVAILI	              0.0073	              0.0020	              0.0163	
             PAVAILI	              0.0011	              0.0049	            0.000911	
             KAVAILI	              0.0261	              0.0066	              0.0214	
            CROPTIME	              0.0281	              0.1057	              0.1921	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.284515	            0.433083	            0.217694	
               TSUM2	            0.300800	            0.436168	            0.594500	
                TDWI	            0.019541	            0.033915	            0.014193	
              RGRLAI	            0.041111	            0.024609	            0.062883	
              SLATB3	            0.224793	            0.025240	            0.028738	
              SLATB9	            0.015955	            0.016401	            0.014962	
                SPAN	            0.017146	            0.017871	            0.028678	
               TBASE	            0.044412	            0.018387	            0.047067	
             KDIFTB3	            0.045687	            0.108195	            0.023093	
             KDIFTB7	            0.022861	            0.034934	            0.026715	
              EFFTB1	            0.138713	            0.078067	            0.086078	
              EFFTB3	            0.096548	            0.062400	            0.057240	
             AMAXTB5	            0.151141	            0.031726	            0.036312	
             AMAXTB9	            0.032189	            0.053640	            0.027032	
            AMAXTB11	            0.074340	            0.113303	            0.067287	
             TMPFTB1	            0.041090	            0.014819	            0.030218	
             TMPFTB3	            0.054909	            0.026269	            0.027225	
                 CVL	            0.023177	            0.035181	            0.015565	
                 CVO	            0.236759	            0.683231	            0.430868	
                 CVR	            0.076154	            0.020029	            0.064994	
                 CVS	            0.028580	            0.263576	            0.019536	
                 Q10	            0.032302	            0.024241	            0.031251	
                 RML	            0.025638	            0.019985	            0.026871	
                 RMO	            0.026282	            0.025702	            0.035368	
                 RMR	            0.051720	            0.057018	            0.031441	
                 RMS	            0.063676	            0.068810	            0.031852	
               FRTB1	            0.031666	            0.032954	            0.025871	
               FRTB5	            0.020253	            0.016164	            0.026439	
               FRTB7	            0.034657	            0.017419	            0.026684	
               FLTB3	            0.176129	            0.210204	            0.063424	
               FLTB5	            0.054095	            0.020276	            0.028567	
               FLTB7	            0.129409	            0.034258	            0.121975	
               FLTB9	            0.014468	            0.031702	            0.012656	
             RDRRTB5	            0.038655	            0.043220	            0.024397	
             RDRRTB7	            0.041742	            0.171132	            0.040309	
             RDRSTB5	            0.016210	            0.035306	            0.019012	
             RDRSTB7	            0.026423	            0.019819	            0.045192	
                 RDI	            0.042628	            0.019552	            0.046792	
                 RRI	            0.079295	            0.023601	            0.055552	
               RDMCR	            0.014043	            0.036944	            0.012696	
                 WAV	            0.016492	            0.022070	            0.013285	
               SMLIM	            0.058222	            0.064128	            0.025769	
             NAVAILI	            0.092287	            0.036919	            0.141333	
             PAVAILI	            0.020946	            0.059326	            0.016816	
             KAVAILI	            0.063948	            0.029626	            0.059034	
            CROPTIME	            0.109160	            0.152758	            0.388341	
