Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.3335	              0.1816	              0.2725	
               TSUM2	              0.2223	              0.3420	              0.4654	
                TDWI	            0.000533	              0.0016	            0.000565	
              RGRLAI	              0.0044	              0.0028	              0.0078	
              SLATB3	              0.0023	              0.0018	            0.000334	
              SLATB9	              0.0017	              0.0016	              0.0016	
                SPAN	            0.000817	            0.000699	              0.0032	
               TBASE	              0.0086	              0.0031	              0.0078	
             KDIFTB3	              0.0010	              0.0032	            0.000673	
             KDIFTB7	              0.0079	              0.0165	              0.0111	
              EFFTB1	              0.1037	              0.0601	              0.0680	
              EFFTB3	              0.1030	              0.0404	              0.0529	
             AMAXTB5	              0.0287	              0.0017	              0.0063	
             AMAXTB9	              0.0126	              0.0309	              0.0098	
            AMAXTB11	              0.0182	              0.0522	              0.0129	
             TMPFTB1	            0.000935	            0.000166	              0.0016	
             TMPFTB3	              0.0045	              0.0011	              0.0022	
                 CVL	              0.0048	              0.0019	              0.0011	
                 CVO	              0.1931	              0.6561	              0.3257	
                 CVR	              0.0078	            0.000896	              0.0027	
                 CVS	              0.0069	              0.0227	              0.0015	
                 Q10	              0.0279	              0.0019	              0.0082	
                 RML	              0.0162	              0.0044	              0.0092	
                 RMO	              0.0043	              0.0026	              0.0066	
                 RMR	              0.0063	              0.0088	              0.0044	
                 RMS	              0.0473	              0.0417	              0.0204	
               FRTB1	              0.0010	              0.0016	            0.000805	
               FRTB5	              0.0016	            0.000542	              0.0026	
               FRTB7	              0.0073	              0.0011	              0.0045	
               FLTB3	              0.1121	              0.0279	              0.0098	
               FLTB5	              0.0056	              0.0019	              0.0035	
               FLTB7	              0.0412	              0.0051	              0.0077	
               FLTB9	            0.000192	            0.000951	             0.00016	
             RDRRTB5	            0.000789	              0.0014	            0.000615	
             RDRRTB7	              0.0019	              0.0049	              0.0033	
             RDRSTB5	            0.000778	              0.0027	              0.0011	
             RDRSTB7	              0.0025	            0.000585	              0.0131	
                 RDI	              0.0019	              0.0017	              0.0013	
                 RRI	              0.0038	             0.00056	              0.0020	
               RDMCR	            0.000293	              0.0013	            0.000266	
                 WAV	            0.000255	            0.000365	            0.000166	
               SMLIM	              0.0011	              0.0016	            0.000887	
             NAVAILI	              0.0065	              0.0030	              0.0134	
             PAVAILI	              0.0011	              0.0051	            0.000917	
             KAVAILI	            0.000753	            0.000857	            0.000292	
            CROPTIME	              0.1115	              0.0904	              0.2968	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.404103	            0.390266	            0.359610	
               TSUM2	            0.261339	            0.392042	            0.503331	
                TDWI	            0.020051	            0.035661	            0.014716	
              RGRLAI	            0.041105	            0.022835	            0.060246	
              SLATB3	            0.039434	            0.038661	            0.022497	
              SLATB9	            0.020322	            0.017656	            0.016693	
                SPAN	            0.021395	            0.019920	            0.040700	
               TBASE	            0.074899	            0.021827	            0.038607	
             KDIFTB3	            0.024741	            0.052944	            0.017587	
             KDIFTB7	            0.022228	            0.036205	            0.029198	
              EFFTB1	            0.119928	            0.078260	            0.085853	
              EFFTB3	            0.123849	            0.069452	            0.070395	
             AMAXTB5	            0.504861	            0.036244	            0.055365	
             AMAXTB9	            0.029887	            0.089989	            0.026366	
            AMAXTB11	            0.042169	            0.108148	            0.044454	
             TMPFTB1	            0.037255	            0.015058	            0.027063	
             TMPFTB3	            0.085030	            0.036185	            0.026331	
                 CVL	            0.023141	            0.042273	            0.015346	
                 CVO	            0.210739	            0.693107	            0.365028	
                 CVR	            0.074990	            0.021187	            0.056238	
                 CVS	            0.021609	            0.109130	            0.016398	
                 Q10	            0.070873	            0.031714	            0.046180	
                 RML	            0.038293	            0.023436	            0.036686	
                 RMO	            0.035709	            0.029253	            0.052293	
                 RMR	            0.040078	            0.088830	            0.030100	
                 RMS	            0.073101	            0.077792	            0.036886	
               FRTB1	            0.028891	            0.034589	            0.024594	
               FRTB5	            0.026619	            0.017816	            0.043275	
               FRTB7	            0.032364	            0.017675	            0.032498	
               FLTB3	            0.307640	            0.174504	            0.050708	
               FLTB5	            0.086862	            0.030225	            0.030048	
               FLTB7	            0.226572	            0.039738	            0.068359	
               FLTB9	            0.014609	            0.031136	            0.012618	
             RDRRTB5	            0.020646	            0.027857	            0.018481	
             RDRRTB7	            0.029100	            0.075771	            0.028464	
             RDRSTB5	            0.016735	            0.037257	            0.019836	
             RDRSTB7	            0.049457	            0.022915	            0.116545	
                 RDI	            0.036466	            0.030712	            0.044687	
                 RRI	            0.161853	            0.031211	            0.064744	
               RDMCR	            0.013654	            0.029863	            0.012456	
                 WAV	            0.016534	            0.022033	            0.013348	
               SMLIM	            0.048739	            0.062054	            0.025368	
             NAVAILI	            0.077114	            0.045474	            0.124599	
             PAVAILI	            0.021055	            0.060789	            0.016906	
             KAVAILI	            0.017566	            0.017735	            0.014252	
            CROPTIME	            0.246255	            0.218045	            0.408504	
