Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.0591	              0.7557	              0.0289	
               TSUM2	              0.0019	              0.0013	            0.000981	
                TDWI	              0.0024	           8.07e-005	              0.2137	
              RGRLAI	           5.57e-005	           1.41e-005	            0.000783	
              SLATB1	            0.000969	              0.0065	              0.0282	
              SLATB3	              0.0170	              0.0099	              0.0011	
                SPAN	              0.0180	              0.1518	           3.67e-005	
               TBASE	              0.0024	              0.0232	           4.13e-005	
             KDIFTB1	              0.0765	            0.000945	              0.0026	
             KDIFTB3	              0.0068	              0.0007	           1.58e-005	
              EFFTB1	              0.1060	            0.000384	              0.0157	
              EFFTB3	              0.0239	              0.0088	              0.0078	
             AMAXTB1	              0.0061	              0.0118	              0.0376	
             AMAXTB3	              0.0119	            0.000659	            0.000567	
             AMAXTB5	              0.0779	              0.0731	            0.000143	
             TMPFTB1	              0.0010	              3e-005	            0.000135	
             TMPFTB3	           1.54e-005	           8.94e-005	              0.0020	
                 CVL	              0.0114	              0.0026	              0.0104	
                 CVO	              0.0340	              0.0513	           6.17e-005	
                 CVR	              0.0012	              0.0046	              0.0151	
                 CVS	              0.0667	            0.000416	              0.0040	
                 Q10	              0.0064	              0.0007	              0.0055	
                 RML	              0.0329	              0.0020	              0.0054	
                 RMO	            0.000845	              0.0039	            0.000534	
                 RMR	              0.0018	            0.000608	              0.0085	
                 RMS	              0.0046	              0.0036	            0.000246	
               FRTB1	              0.1296	            0.000221	              0.1438	
               FRTB9	             0.00054	           1.44e-005	             0.00014	
              FRTB11	            0.000424	           6.63e-005	            0.000235	
              FRTB13	           8.55e-006	            8.4e-005	            0.000189	
               FLTB1	              0.0658	              0.0015	              0.8180	
               FLTB5	            0.000672	             0.00044	              0.0019	
               FLTB7	              0.0016	              0.0057	            0.000103	
               FLTB9	            0.000817	              0.0057	            0.000121	
             RDRRTB3	            0.000744	            0.000326	           4.74e-005	
             RDRRTB7	           6.42e-005	           4.04e-005	              0.0012	
             RDRSTB3	              0.0020	            0.000444	            0.000125	
             RDRSTB7	              0.0013	           2.98e-005	            0.000589	
                 RDI	           7.06e-006	           1.48e-005	           1.98e-005	
                 RRI	           2.93e-005	           2.39e-005	           2.43e-005	
               RDMCR	           6.98e-005	            5.3e-005	            0.000153	
                 WAV	             0.00073	           2.46e-005	             0.00024	
               SMLIM	           4.96e-005	            2.3e-005	            0.000261	
             NAVAILI	           1.93e-005	           3.25e-005	           9.44e-005	
             PAVAILI	           4.49e-005	           3.05e-005	           4.13e-005	
             KAVAILI	              0.8135	              0.0237	              0.0766	
            CROPTIME	              0.0251	              0.0146	              0.4353	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.070389	            0.771295	            0.039472	
               TSUM2	            0.013938	            0.011608	            0.108617	
                TDWI	            0.013788	            0.010106	            0.302148	
              RGRLAI	            0.010788	            0.009913	            0.032089	
              SLATB1	            0.011013	            0.017970	            0.040205	
              SLATB3	            0.026926	            0.019686	            0.016016	
                SPAN	            0.029001	            0.169712	            0.010087	
               TBASE	            0.012335	            0.035367	            0.010796	
             KDIFTB1	            0.096965	            0.012016	            0.015973	
             KDIFTB3	            0.017757	            0.011024	            0.011480	
              EFFTB1	            0.117267	            0.010489	            0.027286	
              EFFTB3	            0.033972	            0.019295	            0.019750	
             AMAXTB1	            0.017297	            0.023679	            0.051949	
             AMAXTB3	            0.022148	            0.010272	            0.011380	
             AMAXTB5	            0.097923	            0.087194	            0.012881	
             TMPFTB1	            0.028033	            0.010148	            0.012437	
             TMPFTB3	            0.009948	            0.010095	            0.012694	
                 CVL	            0.022397	            0.012941	            0.021374	
                 CVO	            0.047013	            0.063672	            0.011254	
                 CVR	            0.014464	            0.015568	            0.026358	
                 CVS	            0.078258	            0.010451	            0.015015	
                 Q10	            0.017209	            0.012208	            0.016217	
                 RML	            0.045176	            0.012187	            0.018895	
                 RMO	            0.011491	            0.019156	            0.016723	
                 RMR	            0.011530	            0.010634	            0.050215	
                 RMS	            0.014692	            0.013649	            0.011047	
               FRTB1	            0.142779	            0.010256	            0.157366	
               FRTB9	            0.013603	            0.009708	            0.017545	
              FRTB11	            0.025529	            0.011038	            0.015871	
              FRTB13	            0.010412	            0.010851	            0.014345	
               FLTB1	            0.116134	            0.013900	            0.866376	
               FLTB5	            0.010599	            0.010264	            0.016764	
               FLTB7	            0.011344	            0.016100	            0.025837	
               FLTB9	            0.010919	            0.016619	            0.014104	
             RDRRTB3	            0.010608	            0.010104	            0.010168	
             RDRRTB7	            0.013062	            0.010249	            0.025238	
             RDRSTB3	            0.012246	            0.010198	            0.010904	
             RDRSTB7	            0.030378	            0.010616	            0.019211	
                 RDI	            0.009854	            0.010335	            0.010897	
                 RRI	            0.010138	            0.010983	            0.010260	
               RDMCR	            0.015529	            0.010834	            0.022876	
                 WAV	            0.042014	            0.011632	            0.016113	
               SMLIM	            0.010376	            0.010129	            0.017508	
             NAVAILI	            0.009811	            0.009959	            0.012173	
             PAVAILI	            0.010080	            0.009872	            0.012753	
             KAVAILI	            0.828008	            0.034516	            0.102967	
            CROPTIME	            0.310791	            0.026910	            0.447384	
