Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.0053	              0.9079	              0.0338	
               TSUM2	            0.000752	              0.0018	            0.000661	
                TDWI	              0.0126	           8.67e-005	              0.2139	
              RGRLAI	             0.00012	           1.74e-005	            0.000415	
              SLATB1	              0.0087	              0.0019	              0.0280	
              SLATB3	              0.0121	              0.0072	            0.000232	
                SPAN	              0.0073	              0.0959	           4.08e-005	
               TBASE	            0.000449	              0.0116	           5.74e-005	
             KDIFTB1	              0.0322	              0.0071	              0.0012	
             KDIFTB3	              0.0067	              0.0056	           2.04e-005	
              EFFTB1	              0.1644	              0.0020	              0.0200	
              EFFTB3	              0.0596	              0.0208	              0.0094	
             AMAXTB1	              0.0737	              0.0035	              0.0428	
             AMAXTB3	              0.2973	              0.0010	             0.00049	
             AMAXTB5	              0.0044	              0.0941	            0.000124	
             TMPFTB1	           9.79e-005	           4.62e-005	            0.000139	
             TMPFTB3	            0.000994	           2.85e-005	              0.0021	
                 CVL	              0.0457	              0.0013	              0.0106	
                 CVO	              0.0115	              0.0438	           8.99e-005	
                 CVR	              0.6304	            0.000801	              0.0211	
                 CVS	              0.7673	            0.000555	              0.0034	
                 Q10	              0.0346	            0.000134	              0.0078	
                 RML	              0.1692	              0.0041	              0.0060	
                 RMO	              0.0042	              0.0065	            0.000719	
                 RMR	              0.0066	              0.0012	              0.0036	
                 RMS	              0.0280	              0.0065	            0.000259	
               FRTB1	              0.3026	            0.000202	              0.1603	
               FRTB9	            0.000346	           2.24e-005	            0.000129	
              FRTB11	           6.37e-005	           6.26e-005	            0.000151	
              FRTB13	           4.37e-005	           5.24e-005	            0.000255	
               FLTB1	              0.0105	              0.0012	              0.5955	
               FLTB5	              0.0011	            0.000282	            0.000769	
               FLTB7	              0.0018	              0.0024	            0.000248	
               FLTB9	            0.000171	              0.0024	            0.000198	
             RDRRTB3	            0.000573	            0.000504	           5.38e-005	
             RDRRTB7	           4.96e-005	           3.86e-005	            0.000586	
             RDRSTB3	              0.0014	            0.000502	            6.5e-005	
             RDRSTB7	             0.00027	           4.31e-005	            0.000465	
                 RDI	           2.46e-005	           1.75e-005	           2.49e-005	
                 RRI	           5.84e-005	           5.31e-005	           3.38e-005	
               RDMCR	           3.45e-005	           4.43e-005	            0.000142	
                 WAV	            0.000451	           2.03e-005	            0.000214	
               SMLIM	           8.23e-005	           2.83e-005	            0.000433	
             NAVAILI	           1.13e-005	           2.71e-005	            0.000124	
             PAVAILI	            0.000494	           5.75e-005	           3.73e-005	
             KAVAILI	            0.000864	           6.28e-005	            0.000411	
            CROPTIME	              0.7012	              0.0031	              0.5268	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.015871	            0.920383	            0.044429	
               TSUM2	            0.012334	            0.012207	            0.083939	
                TDWI	            0.028747	            0.010043	            0.305689	
              RGRLAI	            0.013730	            0.009952	            0.021289	
              SLATB1	            0.018821	            0.013225	            0.040154	
              SLATB3	            0.022953	            0.017095	            0.013622	
                SPAN	            0.018072	            0.112693	            0.010300	
               TBASE	            0.010224	            0.023859	            0.010896	
             KDIFTB1	            0.043907	            0.018609	            0.014397	
             KDIFTB3	            0.016764	            0.015873	            0.011077	
              EFFTB1	            0.177672	            0.012615	            0.032192	
              EFFTB3	            0.069973	            0.031493	            0.021451	
             AMAXTB1	            0.086635	            0.015336	            0.057335	
             AMAXTB3	            0.320893	            0.010657	            0.010976	
             AMAXTB5	            0.014593	            0.108845	            0.012308	
             TMPFTB1	            0.010667	            0.010115	            0.012887	
             TMPFTB3	            0.010958	            0.010063	            0.013213	
                 CVL	            0.056639	            0.011629	            0.021306	
                 CVO	            0.022058	            0.055880	            0.011424	
                 CVR	            0.673510	            0.010847	            0.032877	
                 CVS	            0.787754	            0.010905	            0.014872	
                 Q10	            0.046296	            0.011639	            0.018942	
                 RML	            0.183313	            0.014099	            0.018931	
                 RMO	            0.021349	            0.023174	            0.020599	
                 RMR	            0.017861	            0.011314	            0.030924	
                 RMS	            0.039764	            0.016563	            0.011316	
               FRTB1	            0.317587	            0.010280	            0.177161	
               FRTB9	            0.013275	            0.009805	            0.016541	
              FRTB11	            0.012588	            0.010851	            0.014460	
              FRTB13	            0.011122	            0.010441	            0.015581	
               FLTB1	            0.020570	            0.014323	            0.637334	
               FLTB5	            0.011100	            0.010181	            0.014005	
               FLTB7	            0.014251	            0.012868	            0.031894	
               FLTB9	            0.009924	            0.013264	            0.014186	
             RDRRTB3	            0.010551	            0.010437	            0.010202	
             RDRRTB7	            0.011124	            0.010177	            0.017846	
             RDRSTB3	            0.011772	            0.010361	            0.010955	
             RDRSTB7	            0.014771	            0.010466	            0.018561	
                 RDI	            0.010316	            0.010467	            0.011205	
                 RRI	            0.010376	            0.010588	            0.010434	
               RDMCR	            0.011079	            0.010116	            0.017387	
                 WAV	            0.014392	            0.010369	            0.015048	
               SMLIM	            0.014589	            0.010132	            0.025013	
             NAVAILI	            0.010543	            0.009950	            0.012919	
             PAVAILI	            0.023610	            0.010199	            0.011917	
             KAVAILI	            0.052548	            0.010726	            0.026599	
            CROPTIME	            0.722187	            0.013346	            0.541494	
