Fast first order indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	              0.0275	              0.6767	              0.0062	
               TSUM2	           1.68e-005	              0.0015	            0.000215	
                TDWI	            0.000202	            4.6e-005	              0.0016	
              RGRLAI	            0.000191	           2.87e-005	            0.000826	
              SLATB1	           6.76e-005	              0.0068	              0.0144	
              SLATB3	              0.0113	              0.0246	              0.0034	
                SPAN	              0.0034	              0.0334	            0.000417	
               TBASE	            0.000823	              0.0041	              0.0012	
             KDIFTB1	            0.000171	            0.000138	              0.0012	
             KDIFTB3	            0.000116	              0.0002	             0.00048	
              EFFTB1	              0.0059	              0.0023	              0.0067	
              EFFTB3	              0.0104	              0.0028	              0.0015	
             AMAXTB1	            0.000297	              0.0060	              0.0098	
             AMAXTB3	              0.0201	            0.000881	             0.00094	
             AMAXTB5	            0.000559	              0.0062	            0.000316	
             TMPFTB1	            0.000213	            0.000102	            0.000765	
             TMPFTB3	            0.000151	              0.0017	              0.0025	
                 CVL	            0.000465	              0.0019	              0.0774	
                 CVO	              0.0114	              0.1420	            0.000765	
                 CVR	            0.000541	              0.0063	              0.0122	
                 CVS	              0.0044	              0.0082	              0.0134	
                 Q10	              0.0018	              0.0194	              0.0175	
                 RML	              0.0013	              0.0094	            0.000477	
                 RMO	           3.45e-006	            0.000312	            0.000146	
                 RMR	             0.00021	           6.76e-005	            0.000357	
                 RMS	            0.000487	            0.000974	            0.000122	
               FRTB1	              0.0254	              0.0012	              0.2435	
               FRTB9	            0.000312	            0.000246	            0.000149	
              FRTB11	            0.000225	            0.000287	            5.9e-005	
              FRTB13	            0.000127	            0.000203	           8.12e-005	
               FLTB1	              0.0011	            0.000374	              0.1648	
               FLTB5	            0.000182	           9.71e-005	              0.0020	
               FLTB7	            0.000994	              0.0035	            0.000134	
               FLTB9	              0.0022	              0.0024	            0.000707	
             RDRRTB3	            0.000632	            0.000345	            0.000135	
             RDRRTB7	           7.76e-005	           2.36e-005	              0.0022	
             RDRSTB3	            0.000215	            0.000427	            0.000864	
             RDRSTB7	            0.000113	            0.000117	           5.01e-005	
                 RDI	            0.000341	            0.000669	            0.000454	
                 RRI	           6.83e-005	              0.0027	            0.000235	
               RDMCR	             0.00019	             0.00012	           7.58e-005	
                 WAV	            0.000159	            0.000177	              0.0011	
               SMLIM	            0.000256	              0.0037	            0.000123	
             NAVAILI	           4.27e-005	           8.06e-005	            0.000916	
             PAVAILI	            0.000126	           2.95e-005	            0.000371	
             KAVAILI	              0.8215	              0.3885	              0.4309	
            CROPTIME	            0.000852	              0.0310	              0.0992	

Fast total order Indexes
                    	                TAGP	                TWSO	        PuptakeTotal	
               TSUM1	            0.042678	            0.701884	            0.021790	
               TSUM2	            0.015680	            0.019720	            0.015352	
                TDWI	            0.016201	            0.015057	            0.018807	
              RGRLAI	            0.017965	            0.014337	            0.026583	
              SLATB1	            0.016043	            0.022018	            0.031411	
              SLATB3	            0.028277	            0.043848	            0.026717	
                SPAN	            0.022215	            0.057167	            0.028049	
               TBASE	            0.020850	            0.020424	            0.033457	
             KDIFTB1	            0.015705	            0.015051	            0.016390	
             KDIFTB3	            0.016271	            0.015298	            0.017530	
              EFFTB1	            0.029055	            0.075541	            0.026060	
              EFFTB3	            0.029600	            0.019334	            0.016720	
             AMAXTB1	            0.016612	            0.021745	            0.027773	
             AMAXTB3	            0.040761	            0.016758	            0.018339	
             AMAXTB5	            0.015668	            0.021343	            0.016203	
             TMPFTB1	            0.014908	            0.014180	            0.038194	
             TMPFTB3	            0.016908	            0.047541	            0.019123	
                 CVL	            0.015904	            0.016315	            0.112097	
                 CVO	            0.034070	            0.165055	            0.040999	
                 CVR	            0.018637	            0.025107	            0.032379	
                 CVS	            0.021943	            0.025200	            0.036281	
                 Q10	            0.025130	            0.106784	            0.039515	
                 RML	            0.017302	            0.058133	            0.015552	
                 RMO	            0.016069	            0.017983	            0.016602	
                 RMR	            0.015024	            0.015294	            0.014962	
                 RMS	            0.015960	            0.015626	            0.022352	
               FRTB1	            0.040467	            0.015255	            0.277393	
               FRTB9	            0.018696	            0.019427	            0.017218	
              FRTB11	            0.015799	            0.014767	            0.014801	
              FRTB13	            0.016314	            0.015634	            0.015773	
               FLTB1	            0.016285	            0.014354	            0.190302	
               FLTB5	            0.016037	            0.015269	            0.019604	
               FLTB7	            0.017067	            0.020735	            0.015321	
               FLTB9	            0.024562	            0.018515	            0.022344	
             RDRRTB3	            0.016476	            0.015109	            0.019880	
             RDRRTB7	            0.016090	            0.014956	            0.034767	
             RDRSTB3	            0.015480	            0.014559	            0.019479	
             RDRSTB7	            0.016030	            0.015674	            0.018423	
                 RDI	            0.016886	            0.036162	            0.020507	
                 RRI	            0.014736	            0.050618	            0.017024	
               RDMCR	            0.015244	            0.015321	            0.015779	
                 WAV	            0.020092	            0.015926	            0.049484	
               SMLIM	            0.017414	            0.041572	            0.016299	
             NAVAILI	            0.016320	            0.015619	            0.024483	
             PAVAILI	            0.017680	            0.020194	            0.018076	
             KAVAILI	            0.847463	            0.423093	            0.479849	
            CROPTIME	            0.017038	            0.047627	            0.132734	
